Id,Organization,Type,Region,Location,Latitude,Longitude,Focus,Category,Year,Mission,Key_persons,Key_words,Contact_address,Contact_site,Contact_phone,Contact_fax,Contact_email,Active
11,Planetary Health - School of Nursing at University of Minnesota,Research Centers & Networks,North America,USA,44.97335687,-93.23065857,Planetary Health,Habitability & Hospitability,2019,"As nurses, we solemnly pledge to work to protect the health of people, their communities, and the planet. We pledge to maintain the utmost respect for human life and the diversity of life on Earth, and for the natural systems which support all life. We pledge to advocate for equity and justice by actively addressing environmental, social, and structural determinants of health, envisioning a transition to a society that places the wellbeing of all persons, in balance with nature, at its heart. We pledge to address the climate and ecological crisis in our actions at home, in our communities, and in our profession, to protect the planet and all of its lifeforms for current and future generations.",Teddie Potter (Director),"Planetary health, planetary wellbeing, ecological crisis, transdisciplinary, indigenous knowledge, climate mitigation, Planetary Health Education Framework ","School of Nursing
University of Minnesota,
5-140 Weaver-Densford Hall,
308 Harvard Street SE
Minneapolis, MN 55455, United States of America
",https://nursing.umn.edu/about/planetary-health,"""612 624 5959""",,tmpotter@umn.edu,Active
12,Human and Planetary Health - Stanford Centre for Innovation in Global Health ,Research Centers & Networks,North America,USA,37.43191007,-122.175768,Planetary Health,Habitability & Hospitability,Unknown,"Current models of industrialization and consumption are eroding biodiversity, degrading the environment, and impacting the ability of ecosystems to support human communities. Climate change and other environmental challenges are creating a health crisis of planetary dimension, with impacts falling disproportionately on vulnerable and historically marginalized populations.

Comprehensively understanding the linkages between the environment and human health allows us to design policies and systems that account for the true costs of environmental degradation and conservation.

The field of human and planetary health brings together perspectives from environmental sciences, public health, systems thinking, and other disciplines to achieve breakthroughs and find solutions. Our working group builds on a vibrant community of engaged faculty, staff, and students. More than 70 faculty and Stanford leaders across campus are active in human and planetary health and student engagement is high in all our work.","Michele Barry (Director)
Steve Luby (Director of Research)
Allison Phillips (Executive Director)","Planetary health, biodiversity loss, climate change, planetary dimensions, interdisciplinary, environmental degradation","Stanford University School of Medicine,
291 Campus Drive,
Li Ka Shing Building,
Stanford, CA 94305-5101, United States of America",https://globalhealth.stanford.edu/human-and-planetary-health/,"""(650) 723 4000""",,globalhealth@stanford.edu,Active
13,Carnegie Endowment for International Peace,Research Centers & Networks,North America,USA,38.90938302,-77.04105474,Planetary Politics,Solutions & Politics,1910,"In a complex, changing, and increasingly contested world, the Carnegie Endowment generates strategic ideas and independent analysis, supports diplomacy, and trains the next generation of international scholar-practitioners to help countries and institutions take on the most difficult global problems and safeguard peace.","Stewart Patrick (Director, Global Order and Institutions Program)","planetary politics, biodiversity, climate engineering","Carnegie Endowment International Center,
1779 Massachusetts Avenue NW
Washington, DC 20036-2103",https://carnegieendowment.org/ ,"""202 483 7600""","""202 483 1840""",,Active
14,"Speculative Life Cluster - Milieux Institute for Arts, Culture and Technology at Concordia University",Research Centers & Networks,North America,Canada,45.49550543,-73.57796805,Planetary Thinking,Justice & Ethics,Unknown,"Our research group is unique in the Milieux Institute for Arts, Culture and Technology at Concordia University in our emphasis on fostering science and technology studies, a focus on ecology and environment, our interest in scale and networks, and finally, our commitment to futurity and imagination as critical to design, art, and scholarship.
This cluster of artists, designers and scholars presents a rare opportunity to develop the systemic study and creation of emerging technologies with a focus on social justice, difference, and imagination. We engage with multiple technical ecologies, from bio-media to urban planning, in order to foster creative ways to think about the future of the planetary scale transformations currently occurring as a result of human action and technical developments.","Jill Didur (Co-Director)
Kregg Hetherington (Co-Director)
Brice Ammar Khodja (Coordinator)","Planetary thinking, ecology, design, art, social justice, bio-media, urban planning","Milieux Institute for Arts, Culture and Technology, Concordia University,
1515 St. Catherine Street West (EV 10.625)
Montreal, Quebec.
H3G 2W1, Canada
",https://speculativelife.com/ ,,,speculative.life@concordia.ca ,Active
15,Planetary Praxis - University of Cambridge ,Research Centers & Networks,Europe,UK,52.20538216,0.116972979,Planetary Justice,Justice & Ethics,Unknown,"Planetary Praxis is an interdisciplinary research group that investigates social life, technology and the planetary through practice-based research.

Our research focuses on planetary problems, from air pollution to deforestation and climate change. We especially consider how technological approaches to observing and managing these problems influence social life, and how they facilitate or limit democratic engagement and equity.

So far, our research has included working with communities to monitor air pollution with digital sensors, building toolkits for citizens to monitor their own air quality, studying how citizen data influences or challenges environmental decision-making, and investigating smart environments including cities and forests as they become increasingly digital.

We undertake practice-based and participatory research to test technologies in practice. Collaboration with communities and stakeholders is a central part of our research methods. We also seek to critique, repurpose, and transform digital technologies to be more conducive to social, digital and environmental justice.",Jennifer Gabrys (Director),"Planetary, digital, enviornmental, justice, pollution, deforestation, climate change, Smart Forests, Planetarities, Citizen Sense, Citizen Data, Air Kit","University of Cambridge,
The Old Schools
Trinity Lane,
Cambridge
CB2 1TN,
United Kingdom
",https://planetarypraxis.org/,,, jg899@cam.ac.uk,Active
16,Planetary Challenges and Politics Centre - Aberystwyth University ,Research Centers & Networks,Europe,UK,52.41528602,-4.063991501,Planetary Politics,Solutions & Politics,Unknown,"We live on an intensely interconnected planet where natural, technological, and social and political systems interact in complex, challenging ways. The Planetary Challenges and Politics Centre is driven by a mission to better understand these complex interconnections.  It is also driven by the increasing demand on both the natural sciences and the social and political sciences to seek a closer conversation between their respective theoretical, methodological and empirical outlooks so as to allow us to productively tackle key challenges: from new and old security threats to health provision, sustainable food production, and climate change.",Patrick Finney (Head of Department - International Politics),"Planetary, politics, interconnections, health, security, sustainable, climate change, food","Department of International Politics,
Aberystwyth University,
Penglais, Aberystwyth
SY23 3FE, Wales
",https://www.aber.ac.uk/en/interpol/research/research-centres-and-institutes/planetary-challenges-and-politics-centre/,"""+44 (0)1970 622741""","""01970 622709""",interpol@aber.ac.uk,Active
17, Panel on Planetary Thinking -Justus-Liebig-Universität Giessen ,Research Centers & Networks,Europe,Germany,50.57958442,8.670095842,Planetary Thinking,Solutions & Politics,2020,"""Planetary thinking means taking the Earth as a planet seriously: from the Earth's core to interplanetary space, from nanoseconds to deep time, from elementary particles to the Earth's mass. If interactions between our home planet and ourselves are at the center, a planetary knowledge paradigm takes shape. It is accompanied by the relativization of human existence in the universe and the relativization of the anthropocentric view. Questions of habitability and hospitality become more prominent. Thus the creation of new knowledge always means the creation of new worlds"".

Humans make a substantial contribution to this with their behavior and destroy the bases of life of their own generation as well as the following generations. In other words: Man can destabilize stable planetary conditions, but has not yet been able to restore them. Therefore, it is even more important to take an overall planetary perspective, to question interrelationships, to assess consequences and to create thinking spaces. The newly established ""Panel on Planetary Thinking"" at the Justus Liebig University of Giessen is therefore focusing on the interactions between the planet and humans.   ","Claus Leggewie (Director)
Frederic Hanusch (Scientific Coordinator)","Planetary, interplanetary, deep time, Anthropocene, cross-disciplinary, sustainability, multidisciplinary, planetary materials","Panel on Planetary Thinking,
Liebigstraße 35,
35392 Gießen, Germany
",https://www.uni-giessen.de/faculties/planetarythinking,"""+49 641 99 16191""",,panel@planet.uni-giessen.de,Active
18,Planetary Thinking Working Group - GRADE Sustain Centre at Goethe Universität Frankfurt am Main ,Research Centers & Networks,Europe,Germany,50.13054169,8.668119724,Planetary Thinking,Solutions & Politics,Unknown,"GRADE Sustain integrates a broad range of disciplines, which provide theoretical and methodological approaches to the research of sustainable human-environment relationships. Among those are the geosciences, geography and biology as well as humanities and social sciences. This integration of disciplines encourages inter- and transdisciplinary research to address major societal challenges such as the loss of biodiversity and ecosystem services, climate change and environmental pollutants. Key research questions include:

- To what extent do the loss of biodiversity and the anthropogenic transformations of ecosystems influence the supply of ecosystem services and human well-being?
- How can we process the complexity of environment and society in order to secure livelihoods and equitable sustainable development?
- Which new transdisciplinary research approaches need to be developed to address societal challenges?
- How can we effectively disseminate scientific findings to stakeholders and decision makers (from theory to practice)?","Thomas Hickler (Head of the group ""Modelling of the Terrestrial Biosphere"" and Professor for Quantitative Biogeography at Biodiversity and Climate Research Centre (BiK-F) and Goethe University)

Antje Schlottmann (Professor for Geography and Education at Goethe University)","Planetary, interdisciplinary, transdisciplinary, biodiversity, ecosystem services, climate change, Anthropocene, sustainable, ","GRADE - Goethe Research Academy for Early Career Researchers,
Campus Bockenheim, Juridicum (9th floor),
Senckenberganlage 31,
60325 Frankfurt am Main, Germany",https://www.goethe-university-frankfurt.de/99718276/EXPLORING_PLANETARY_THINKING,"""+49 (0)69798 49411""","""+49 (0)69798 49407""",grade@uni-frankfurt.de,Active
19,Planetary Geopolitics and Geoengineering  - Institute for Advanced Sustainability Studies (IASS) Potsdam  ,Research Centers & Networks,Europe,Germany,52.40628103,13.0732977,"Planetary Geopolitics
Geoengineering",Earth System Science,Unknown,"Our group focuses on modes of knowledge and action that today constitute a distinctively ""planetary"" geopolitics and analyzes the challenge they pose to familiar categories of modern scientific and political reason: representation and intervention, necessity and contingency, action and inaction, certainty and indeterminacy. The group uses ethnographic and historical research methods and draws on concepts from science and technology studies, cultural anthropology, ordinary language philosophy, political economy, and political theory to characterize how forms of collective life are taking shape and coming apart with the ascent of the ""planetary"" in science and politics.","Stefan Schäfer (Research Group Leader)
Mark Lawrence (Managing Scientific Director)
Gabriel Dorthe (Research Associate)
Tobias Haas (Research Associate)
Martin Fonck (Research Associate)
Damien Bright (Research Associate)","Planetary, geopolitics, geoengineering, technoscientific, representation, intervention, ethnography, anthropology, political economy, philosophy, negative emission, geoscience, petrocapitalism, social theory, transdisciplinary, art, Climate Engineering","Institute for Advanced Sustainability Studies e.V.,
Berliner Strasse 130.
D-14467 Potsdam, Germany
",https://www.iass-potsdam.de/en/research-group/climate-engineering,"""+49 331 28822 300""","""+49 331 28822 310""",info@iass-potsdam.de,Active
20,Potsdam-Institut für Klimafolgenforschung (PIK),Research Centers & Networks,Europe,Germany,52.38057993,13.06411824,Planetary Boundaries,Solutions & Politics,1992,"From natural science to social science, from risks to solutions, from identifying Planetary Boundaries to managing Global Commons: The Potsdam Institute for Climate Impact Research (PIK) is advancing the frontier of integrated research for global sustainability, and for a safe and just climate future.","Ottmar Edenhofer (Director)
Johan Rockström (Director)
Bettina Hörstrup (Administrative Director)","Planetary, boundaries, Global Commons, sustainability, justice, climate, interdsciplinary","Potsdam Institute for Climate Impact Research (PIK) e. V.,
P.O. Box 60 12 03,
14412 Potsdam, Germany",http://www.pik-potsdam.de,"""+49 (0)331 288 2500""","""+49 (0)331 288 2600""",director@pik-potsdam.de,Active
21,"Anthropocene Curriculum -  by Haus der Kulturen der Welt (HKW, Berlin) and the Max Planck Institute for the History of Science (MPIWG, Berlin)",Research Centers & Networks,Europe,Germany,52.51865843,13.36444962,"Planetary Scale Dynamics
Planetary Systems",Solutions & Politics,2013,"The Anthropocene Curriculum is a long-term initiative that explores frameworks for critical knowledge and education in our ongoing transition into a new, human dominated geological epoch—the Anthropocene. The project draws together heterogeneous knowledge practices, inviting academics, artists, and activists from around the world to co-develop curricular experiments that collectively respond to this crisis of the customary. It does this by producing experimental co-learning situations and research possibilities for transdisciplinary collaboration that are capable of explicitly tackling the epistemic and geo-social dimensions of knowledge that are at stake in this new epoch.

What should a body of “earthbound” knowledge contain that traverses from the global to the local and back? What forms of knowledge transmission are appropriate and lasting in these trans-scalar conditions and mutual interdependencies? Taking into account issues of access and agency, asymmetrical justice, traditional knowledge forms, and ways of inhabiting the Earth, the project accounts for the varied means of experience and seeks to find a common ground for future scholarship and practice.","Does not list any lead intellectuals.

The list of contributors to the Curriculum can be found on;
https://www.anthropocene-curriculum.org/contributors ","Planetary, Anthropocene, geological, earthbound, interdependencies, asymmetrical justice, transdisciplinary, heterogeneous, stratigraphy, technosphere, Earth System, biophysical, biogeochemical, ","Haus der Kulturen der Welt,
John-Foster-Dulles-Allee 10,
10557 Berlin, Germany
",https://www.anthropocene-curriculum.org/,"""+49 (0)30 397 870""",,curriculum@hkw.de,Active
22,Haus der Kulturen der Welt (HKW),Organizations & Associations,Europe,Germany,53,12.7,Planetary Thinking,Solutions & Politics,1989,"Haus der Kulturen der Welt (HKW) creates a forum for the contemporary arts and critical debates. In the midst of profound global and planetary transformation processes, HKW re-explores artistic positions, scientific concepts, and spheres of political activity, asking: How do we grasp the present and its accelerated technological upheavals? What will tomorrow’s diversified societies look like? And what responsibilities will the arts and sciences assume in this process?

HKW develops and stages a program that is unique in Europe, blending discourse, exhibitions, concerts and performances, research, education programs and publications. Its projects initiate reflection processes and devise new frames of reference. In its work, HKW understands history as a resource for alternate narratives.

In its extraordinary, modernist congress-hall architecture, HKW enables new forms of encounter and opens up experiential spaces between art and discourse. Together with artists, academics, everyday experts, and partners across the globe, it explores ideas in the making and shares them with Berlin’s international audience and the digital public.",Bernd M. Scherer (Director),"Planetary, arts, politics, exhibitions, performances, discourse, Anthropocene, ","Haus der Kulturen der Welt,
John-Foster-Dulles-Allee 10,
10557 Berlin, Germany
",https://www.hkw.de/en/,"""+49 (0)30 397 870""","""+49 (0)30 394 86 79""",info@hkw.de,Active
23,Rachel Carson Center for Environment and Society (RCC) at Ludwig-Maximilians-Universität München (LMU),Research Centers & Networks,Europe,Germany,48.15534667,11.58234996,Environmental Humanities,Solutions & Politics,2009,"The RCC’s mission is to advance education, research, and international cooperation in the field of the environmental humanities and social sciences. It contributes to public and scholarly debates about future ecological and social challenges. The RCC aims to strengthen the environmental humanities and to raise its profile as a globally significant and growing field.

By bringing together scholars who work in various disciplines and national contexts, and communicating the results of their research, the RCC aims to internationalize the environmental humanities and to raise its profile as a globally significant and growing field.","Christof Mauch (Director)
Helmuth Trischler (Director)","Planetary, health, climate change, Anthropocene, environmental humanities, ecosystems, climate politics, multidisiplinary","Rachel Carson Center for Environment and Society,
LMU Munich,
Leopoldstr. 11a,
D-80802 Munich, Germany
",https://www.carsoncenter.uni-muenchen.de/index.html,"""+49 (0) 89 2180 72352""","""+49 (0) 89 2180 72353""",,Active
24,"Humanities Centre for Advanced Studies ""Futures of Sustainability: Modernization, Transformation, Control"" - Universität Hamburg ",Research Centers & Networks,Europe,Germany,53.5668944,9.984481767,"Planetary Boundaries
Sustainability",Solutions & Politics,2019,"The Centre will deal with the question of how modern societies change when they are guided by different notions of sustainability. Three development paths of sustainability will receive our special sociological attention: Modernisation, transformation, control. These development paths do not only indicate what ideas of the future are disputed today. They also mark new lines of conflict, patterns of inequality and power hierarchies that are linked to the various objectives of sustainability.

The Centre serves primarily to develop theories and analytical syntheses in the diagnosis of society. It works discursively and invites international fellows, especially from the social sciences and humanities, to participate in research. Lectures, seminars, workshops and conferences take place regularly. At the same time, the Centre addresses the general public and seeks exchange with social actors who integrate sustainability criteria into their practice.","Frank Adloff (Director)
Sighard Neckel (Director)","Planetary boundaries, sustainability, modernisation, transformation, inequalty, hierarchy, capitalism, climate coloniality, planetary dimensions of infrastructure, biodiversity loss","Humanities Centre for Advanced Studies ""Futures of Sustainability""
Universität Hamburg,
Gorch-Fock-Wall 5-7,
20354 Hamburg, Germany
",https://www.zukuenfte-nachhaltigkeit.uni-hamburg.de/en.html,"""+49 40 42838 4621""",,futures.of.sustainability@uni-hamburg.de,Active
25,Deutsche Allianz Klimawandel und Gesundheit e.V. (KLUG),Research Centers & Networks,Europe,Germany,52.63483973,13.27290545,Planetary Health,Habitability & Hospitability,2017,"Our goal is to make clear the far-reaching consequences of climate change on health. The healthcare professions should therefore become actors in the necessary transformation of society as a whole and also help to reduce the ecological footprint of the healthcare system in order to limit global warming.

To this end, the actors network across sectors and hierarchies in society as a whole and become particularly active at the municipal and local level in their environment. Climate protection and mitigation of the consequences of global warming must be integrated or strengthened in research, education and training.","Martin Herrmann (Chairman)
Katharina Thiede (Deputy Chairman)
Reinhard Koppenleitner (Deputy Chairman)
Laura Jung (Board Member)
Max Bürck-Gemassmer (Board Member)
Franziska Matthies-Wiesler (Board Member)
Sophie Gepp (Board Member)
Ameli Gerhard (Board Member)","Planetary, health, climate change, ecological, global warming, healthcare, hierarchies","KLUG – Deutsche Allianz Klimawandel und Gesundheit e.V.,
Hainbuchenstr. 10a,
13465 Berlin, Germany
",https://www.klimawandel-gesundheit.de/,,,kontakt@klimawandel-gesundheit.de,Active
26,Centre for Planetary Health Policy,Research Centers & Networks,Europe,Germany,52.50047332,13.44633409,Planetary Health,Habitability & Hospitability,2022,"The Centre for Planetary Health Policy (CPHP) is an independent think tank in Berlin, Germany. It is a forum for scientific policy advice at the nexus of global environmental change and health with the aim of achieving a sustainable and equitable transformation of social systems in Germany and the world. With CPHP we are aiming to stimulate and support socio-political debates on health within planetary boundaries. Together with health actors, policy-makers, and researchers, we develop options for action along the questions depicted in our first policy brief and others. For example: How can planetary health as a vision for the future be established as a standing item on national and international political agendas permanently and effectively? How can health equity and environmental justice be consolidated in (health) policy decisions? What kind of partnerships are necessary for planetary health? In addition to that, we want to connect with actors from other policy fields; because health is not only shaped by the health sector but all policy areas. To that end, we will also look beyond Germany. In view of the urgency of overcoming the planetary crises, new forms of cooperation are needed to ensure the habitability of the planet for future generations and their health.",Maike Voss (Director),"Planetary, health, sustainability, planetary boundaries, socio-political, justice, healthcare","
Centre for Planetary Health Policy
Curvystr. 1
10997 Berlin, Germany",https://cphp-berlin.de/EN/,,,info@cphp-berlin.de,Active
27,Planetary Health' Working Group at Julius-Maximilians-Universität of Würzburg (JMU),Research Centers & Networks,Europe,Germany,49.78834873,9.935050528,Planetary Health,Habitability & Hospitability,Unknown,"The climate crisis and the threat of exceeding further planetary boundaries is seen as one of the greatest threats to human health. The rapidly growing scientific evidence base on this development is still not widely known.

In the field of mitigation (prevent the unmanageable) and adaptation (manage the unpreventable) there are countless opportunities for action. People in health care professions or in the health care sector have both a special responsibility and special opportunities.

We want to sensitize health care professionals for this responsibility and provide them with options for action by conducting several research projects and enable them to move from knowledge to concrete action.","Eva-Maria Schwienhorst-Stich (Head)
Janina Zirkel (Deputy)","Planetary, health, transdisciplinary, nutrition, biodiversity, agriculture, ","Universität Würzburg,
Sanderring 2,
97070 Würzburg, Germany
",https://www.med.uni-wuerzburg.de/en/planetaregesundheit/home/,"""+49 931 31 0""","""+49 931 31 82600""",,Active
28,S A V V Y Contemporary: The Laboratory of Form-Ideas,Organizations & Associations,Europe,Germany,52.54490158,13.37055336,Arts,Solutions & Politics,2009,"An important part of our culture is working extradisciplinarily. With team members from twelve countries and five continents trained as biotechnologists, art historians, cultural theorists, anthropologists, designers and artists, we think interdisciplinary work is not enough, one must be able to liberate one’s self from the tight corset of one’s own discipline. When Glissant talks about not leaving history in the hands of historians alone, he indeed calls for extradisciplinarity. By thinking extradisciplinary, we acknowledge the limits and faults of our discipline and advocate for processes of unlearning to be able to learn something new.

In summary, SAVVY Contemporary gives space to reflect on colonialities of power (Anibal Quijano) and how these affect histories, geographies, gender and race. It is a space wherein epistemological disobedience and delinking (Walter Mignolo) are practiced, and it is a space for decolonial practices and aesthetics. We propose to move with Sylvia Wynter “towards the Human, after Man.”","Bonaventure Soh Bejeng Ndikung (Founder & Artistic Director)
Arlette-Louise Ndakoze (Artistic Co-Director)
Elena Agudio (Artistic Co-Director)
Hajra Haider Karrar (Curator)","Planetary, extradisciplinary, conviviality, art, agropoetics, interdisciplinary, biotechnology, history, anthropology, design, art space, discursive platform, cosmogenic, xenophobia, racial violence, diversity, epistemologies, performative, non-Western ","S A V V Y Contemporary,
Reinickendorfer Straße 17,
13347 Berlin, Germany ",https://savvy-contemporary.com/,,,"art@savvy-contemporary.com
          management@savvy-contemporary.com
          anna.jaeger@savvy-contemporary.com
          info@savvyfriends.org",Active
